schema_version	member_contract_id	action_class_id	outcome_count	source_statuses	allowed_route_ids	route_set_semantics	premise_class	allowed_call_kinds	source_preservation_rule	all_outcomes_zero_call	explicit_zero_traffic	stored_borrow_mode	exclusion_kind	od4_applicability	unknown_length_applicability	action_class_disposition	member_declaration_sha256	exact_registry_sha256	route_registry_sha256	classifier_evidence_status	member_action_row_sha256
privileged-basis-exact-derivation-v1	DENSE-ALIGN-EVIDENCE	NEGATIVE	1	EXCLUDED_BLOCKS_NAMED_CLAIM	NEG-STATIC-REJECTION	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	NONE	NONE	NO_ADMITTED_RUNTIME_TRANSITION	YES	NO	NONE	STATIC_REJECTION	NOT_APPLICABLE	NOT_APPLICABLE	NEGATIVE_OR_DEPENDENCY_TEMPLATE	d1ea51bfbacac256659b916a5a0e4695d3d72f497066f471a68593561f5c85c3	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	9f4e07201bffdc4a445b4005ac999432244b9ea82e8aab870eed18244830778b
privileged-basis-exact-derivation-v1	DENSE-APPEND-MOVE	MOVE_GROW	8	REQUIRED_IN_LOCK	CORE-TAKE-PUT,FAIL-ALLOC-EXACT,FAIL-CHECKED-ARITH,FAIL-RESERVE-FIRST,PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	NONE	NONE	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	YES	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	5da576dd89f606600a488de10d7a652547076d6f4211763f27913ffd08ab02f1
privileged-basis-exact-derivation-v1	DENSE-BOX-INIT-EVIDENCE	NEGATIVE	1	EXCLUDED_BLOCKS_NAMED_CLAIM	NEG-LATER-DOMAIN	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	NONE	NONE	NO_ADMITTED_RUNTIME_TRANSITION	YES	NO	NONE	LATER_DOMAIN_DEPENDENCY	NOT_APPLICABLE	NOT_APPLICABLE	NEGATIVE_OR_DEPENDENCY_TEMPLATE	ed38e7bbfa0c9df36274097545bf0ecca008cf95209130cb29b2e63553b50ad1	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	e44143a3135cd31daf6c06a0b1dd61611affa7e41c8bff9b05a3bbb71083cb2f
privileged-basis-exact-derivation-v1	DENSE-CLEAR	DISPOSE	2	REQUIRED_IN_LOCK	PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER,PROTOCOL-PLAN-DISPOSE	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	DISPOSITION_PLAN	PROTOCOL-PLAN-DISPOSE	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	YES	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	121a8ad97c1f1c127d6d05f76bb8c51d5d7d24346dd49b57adef274e10ac8aa3	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	5d902f7ccb149ca956f60956f68a3505868bea9f75ff17d03ce2b0a268f68cdf
privileged-basis-exact-derivation-v1	DENSE-CLONE-FROM	CLONE_MUTATE	6	REQUIRED_IN_LOCK	CALLABLE-CLONE,CORE-REPLACE,CORE-TAKE-PUT,FAIL-ALLOC-EXACT,FAIL-CHECKED-ARITH,FAIL-RESERVE-FIRST,PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER,PROTOCOL-PLAN-DISPOSE	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	CLONE	CALLABLE-CLONE	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	NO	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	2050d2c85664b87c1d930422a691bfc5340e84620ef3d155b6428a1b3570553a	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	59bde945d2e4a39cc38e514b2eb238ec93d1445014f211e9165584bbcb2fe986
privileged-basis-exact-derivation-v1	DENSE-COLLECT	PRODUCER	8	REQUIRED_IN_LOCK	CALLABLE-PRODUCER,CORE-EMPTY-CARRIER,CORE-REPLACE,CORE-TAKE-PUT,FAIL-ALLOC-EXACT,FAIL-CHECKED-ARITH,FAIL-RESERVE-FIRST,PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER,PROTOCOL-PLAN-DISPOSE	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	ITERATOR	CALLABLE-PRODUCER	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	NO	NO	ACTIVE_EXACT_ROUTE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	08be970800e5230c397e707a0bb9db7f679fe53550cf1a3945592d46e760a80b	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	ec8ab484becf9762ac074bb2899994d269a7fe4f9129a647e31287a31ebcd07c
privileged-basis-exact-derivation-v1	DENSE-COMPARE	READ_BEHAVIOR	2	REQUIRED_IN_LOCK	CALLABLE-USER,CORE-PARTITION-BORROW,PROTOCOL-OPAQUE-OWNER	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	USER_BEHAVIOR	CALLABLE-USER	SOURCE_OWNER_RETAINED_OR_EXACTLY_TRANSFERRED_AS_DECLARED	NO	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	df3101e25592cc378dac4bb7ad85465ddeede4fcde51de1597c0232ae30c35a2	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	54effdf0ce81f719c50780dbedb7006181d6691cdd4d4f4850079f61079c6570
privileged-basis-exact-derivation-v1	DENSE-CONCAT	CLONE_BUILD	4	REQUIRED_IN_LOCK	CALLABLE-CLONE,CORE-EMPTY-CARRIER,CORE-TAKE-PUT,FAIL-ALLOC-EXACT,FAIL-CHECKED-ARITH,FAIL-RESERVE-FIRST,PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER,PROTOCOL-PLAN-DISPOSE	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	CLONE	CALLABLE-CLONE	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	NO	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	0ddef1877dc01416489b5c77ec3c859a56929ed10857d6dfe3f109e877880c6f	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	19981d61c615583d58c050d4cc3db6999b34497d2a8dc0675e5a115e0702bf78
privileged-basis-exact-derivation-v1	DENSE-CONVERT	CONVERT	4	REQUIRED_IN_LOCK	CALLABLE-PRODUCER,CORE-REPACKAGE-FULL-STORAGE,CORE-RESHAPE-PARTITION,CORE-TAKE-PUT,FAIL-ALLOC-EXACT,FAIL-CHECKED-ARITH,PROTOCOL-EXACT-FOCUS,PROTOCOL-OPAQUE-OWNER	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	DECLARED_CONVERSION	CALLABLE-PRODUCER	EXACT_SOURCE_OWNER_ROLE_AND_STATE_EQUATIONS	NO	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	e6ea63841209a10991f755abafc2332a109f2c6549cfaeee452a5b6fba094408	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	d22d3cb739d533a03baf5547579c94d339772712fdbd617daea9714801492381
privileged-basis-exact-derivation-v1	DENSE-COPY-FROM	COPY	2	REQUIRED_IN_LOCK	CORE-COPY,CORE-PARTITION-BORROW,CORE-TYPED-PLACE,FAIL-CHECKED-ARITH,PROTOCOL-OPAQUE-OWNER	ALLOWED_MEMBER_REPERTOIRE_NOT_OUTCOME_INVOCATION	CORE_COPY	CORE-COPY	SOURCE_REMAINS_FULL_DESTINATION_ONLY_CHANGES	YES	NO	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	PAPER_ROUTE_TEMPLATE_SELECTED_TRACE_NOT_MECHANIZED	4137706e11b03dc8f85d5b5c9f6e5ab37f83970d44a437cf8107a0cc89736030	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	a1d9352f4ad10e2b6ac212fe5bdec81464dac3f8ba3d8e13e47c89ab0faf7dfd	EXACT_93_MEMBER_PARTITION_VERIFIED	1201a2052cba506d184d16faf8efeaf7c02666794df41f0b51ac65b2a679a5f7
